Rk,Player,Pos,Age,G,GS,MP,FG%,Dist.,%FGA 2P,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA 3P,2P%,FG% 0-3,FG% 3-10,FG% 10-16,FG% 16-3P,3P%,%Ast'd 2P,%Ast'd 3P,Dunk %FGA,Dunks #,Corner 3s %3PA,Corner 3s 3P%,Heaves Att.,Heaves Md.,Awards
180.0,Kevin Porter Jr.,SG,24.0,75.0,4.0,1482.0,0.449,13.8,0.729,0.179,0.212,0.187,0.15,0.271,0.501,0.658,0.413,0.516,0.418,0.311,0.261,0.491,0.066,39.0,0.124,0.455,0.0,0.0,
181.0,D'Angelo Russell,PG,28.0,58.0,36.0,1480.0,0.39,18.4,0.436,0.1,0.176,0.121,0.039,0.564,0.489,0.703,0.491,0.377,0.28,0.314,0.449,0.584,0.002,0.0,0.089,0.281,2.0,0.0,
182.0,Lauri Markkanen,PF,27.0,47.0,47.0,1476.0,0.423,17.3,0.43,0.15,0.204,0.044,0.031,0.57,0.525,0.638,0.51,0.355,0.318,0.346,0.658,1.0,0.104,61.0,0.18,0.417,1.0,0.0,
183.0,Luke Kennard,SG,28.0,65.0,11.0,1472.0,0.478,19.1,0.394,0.074,0.128,0.132,0.06,0.606,0.547,0.75,0.473,0.561,0.423,0.433,0.538,0.947,0.002,1.0,0.241,0.54,1.0,0.0,
184.0,Jamal Shead,PG,22.0,75.0,11.0,1467.0,0.405,15.3,0.558,0.169,0.236,0.127,0.026,0.442,0.47,0.624,0.412,0.469,0.0,0.323,0.402,0.875,0.016,5.0,0.148,0.394,4.0,0.0,
185.0,Aaron Gordon,PF,29.0,51.0,42.0,1447.0,0.531,11.8,0.654,0.348,0.195,0.07,0.04,0.346,0.582,0.665,0.464,0.571,0.45,0.436,0.566,0.867,0.141,63.0,0.36,0.484,1.0,0.0,
186.0,Isaiah Stewart,C,23.0,72.0,4.0,1434.0,0.559,7.2,0.832,0.438,0.346,0.041,0.006,0.168,0.607,0.681,0.523,0.615,0.0,0.321,0.73,1.0,0.111,35.0,0.17,0.333,0.0,0.0,
187.0,Brice Sensabaugh,SF,21.0,71.0,15.0,1432.0,0.459,18.7,0.379,0.075,0.172,0.11,0.022,0.621,0.52,0.711,0.495,0.455,0.385,0.422,0.585,0.86,0.008,5.0,0.306,0.509,1.0,0.0,
188.0,Goga Bitadze,C,25.0,70.0,42.0,1430.0,0.611,4.9,0.917,0.599,0.265,0.035,0.018,0.083,0.656,0.739,0.544,0.333,0.167,0.107,0.676,1.0,0.289,87.0,0.214,0.0,1.0,0.0,
189.0,Kel'el Ware,C,20.0,64.0,36.0,1422.0,0.554,9.3,0.761,0.401,0.269,0.075,0.015,0.239,0.629,0.715,0.576,0.429,0.286,0.315,0.766,0.971,0.321,128.0,0.18,0.2,2.0,0.0,
190.0,Tari Eason,PF,23.0,57.0,16.0,1420.0,0.487,11.3,0.671,0.377,0.193,0.075,0.025,0.329,0.557,0.678,0.435,0.405,0.143,0.342,0.531,0.984,0.1,47.0,0.364,0.358,1.0,0.0,
191.0,Zach Edey,C,22.0,66.0,55.0,1416.0,0.58,6.1,0.88,0.501,0.335,0.035,0.009,0.12,0.612,0.76,0.414,0.4,0.5,0.346,0.635,1.0,0.236,94.0,0.308,0.25,0.0,0.0,
192.0,T.J. McConnell,PG,32.0,79.0,1.0,1415.0,0.519,9.1,0.921,0.24,0.357,0.263,0.061,0.079,0.537,0.667,0.52,0.457,0.474,0.306,0.388,0.733,0.0,0.0,0.306,0.4,1.0,0.0,
193.0,Terance Mann,SG,28.0,67.0,13.0,1414.0,0.496,13.5,0.605,0.247,0.199,0.116,0.044,0.395,0.58,0.765,0.463,0.438,0.444,0.368,0.579,0.9,0.08,31.0,0.466,0.421,0.0,0.0,
194.0,Ryan Dunn,SF,22.0,74.0,44.0,1410.0,0.43,16.0,0.447,0.166,0.203,0.061,0.017,0.553,0.577,0.759,0.495,0.414,0.375,0.311,0.748,1.0,0.075,31.0,0.564,0.329,0.0,0.0,
195.0,Sam Merrill,SG,28.0,71.0,4.0,1401.0,0.406,22.7,0.132,0.085,0.028,0.005,0.014,0.868,0.625,0.722,0.5,0.0,0.5,0.372,0.8,0.993,0.0,0.0,0.22,0.383,0.0,0.0,
196.0,Ayo Dosunmu,SG,25.0,46.0,26.0,1394.0,0.492,12.4,0.579,0.372,0.176,0.027,0.004,0.421,0.612,0.707,0.456,0.333,0.5,0.328,0.553,0.935,0.027,11.0,0.407,0.351,0.0,0.0,
197.0,Ty Jerome,SG,27.0,70.0,3.0,1392.0,0.516,15.6,0.591,0.121,0.275,0.168,0.026,0.409,0.57,0.56,0.571,0.577,0.563,0.439,0.332,0.64,0.0,0.0,0.146,0.459,2.0,0.0,
198.0,Julian Strawther,SG,22.0,65.0,4.0,1384.0,0.432,17.2,0.447,0.142,0.191,0.097,0.016,0.553,0.535,0.681,0.473,0.489,0.25,0.349,0.724,0.894,0.012,6.0,0.138,0.541,0.0,0.0,
199.0,Nick Smith Jr.,SG,20.0,60.0,27.0,1369.0,0.391,18.5,0.461,0.069,0.174,0.158,0.06,0.539,0.45,0.59,0.404,0.467,0.382,0.34,0.381,0.817,0.004,2.0,0.193,0.356,1.0,0.0,
200.0,Jaime Jaquez Jr.,SF,23.0,66.0,17.0,1368.0,0.461,9.9,0.742,0.288,0.398,0.039,0.017,0.258,0.513,0.677,0.435,0.222,0.25,0.311,0.443,0.892,0.032,12.0,0.513,0.262,2.0,0.0,
201.0,Nicolas Batum,PF,36.0,78.0,8.0,1367.0,0.437,22.1,0.147,0.059,0.055,0.008,0.025,0.853,0.457,0.571,0.385,0.0,0.5,0.433,0.5,0.989,0.021,4.0,0.478,0.474,0.0,0.0,
202.0,Jose Alvarado,PG,26.0,56.0,23.0,1366.0,0.392,17.9,0.407,0.136,0.177,0.081,0.013,0.593,0.439,0.563,0.348,0.452,0.286,0.359,0.376,0.703,0.0,0.0,0.207,0.359,1.0,0.0,
203.0,Jeremy Sochan,PF,21.0,54.0,23.0,1364.0,0.535,7.4,0.806,0.546,0.207,0.038,0.015,0.194,0.59,0.707,0.361,0.333,0.143,0.308,0.744,0.964,0.196,77.0,0.385,0.314,0.0,0.0,
204.0,Luke Kornet,C,29.0,73.0,16.0,1361.0,0.668,2.8,0.989,0.732,0.225,0.029,0.004,0.011,0.675,0.761,0.429,0.375,1.0,0.0,0.695,,0.354,86.0,0.333,0.0,0.0,0.0,
205.0,Trey Lyles,PF,29.0,69.0,5.0,1349.0,0.42,17.6,0.364,0.171,0.152,0.029,0.011,0.636,0.559,0.688,0.404,0.636,0.5,0.34,0.789,1.0,0.078,27.0,0.311,0.378,0.0,0.0,
206.0,Jake LaRavia,PF,23.0,66.0,0.0,1349.0,0.475,14.6,0.579,0.249,0.27,0.047,0.012,0.421,0.513,0.607,0.484,0.25,0.25,0.423,0.59,0.95,0.074,20.0,0.261,0.378,2.0,1.0,
207.0,Bogdan Bogdanović,SG,32.0,54.0,4.0,1348.0,0.427,18.7,0.413,0.11,0.128,0.12,0.055,0.587,0.517,0.574,0.476,0.525,0.481,0.363,0.524,0.848,0.002,1.0,0.208,0.367,1.0,0.0,
208.0,Justin Champagnie,SF,23.0,62.0,31.0,1340.0,0.511,13.9,0.53,0.324,0.182,0.022,0.0,0.47,0.624,0.767,0.413,0.333,,0.383,0.566,0.986,0.075,30.0,0.316,0.377,1.0,0.0,
209.0,Paul George,PF,34.0,41.0,41.0,1334.0,0.43,18.0,0.53,0.105,0.125,0.14,0.16,0.47,0.493,0.75,0.408,0.525,0.363,0.358,0.282,0.656,0.021,8.0,0.175,0.277,1.0,0.0,
210.0,Ausar Thompson,SF,22.0,59.0,48.0,1328.0,0.535,6.0,0.893,0.498,0.352,0.033,0.011,0.107,0.572,0.69,0.451,0.2,0.2,0.224,0.621,1.0,0.272,107.0,0.51,0.24,4.0,0.0,
211.0,Donovan Clingan,C,20.0,67.0,37.0,1324.0,0.539,5.8,0.853,0.617,0.222,0.009,0.006,0.147,0.582,0.68,0.338,0.0,0.5,0.286,0.602,1.0,0.207,58.0,0.102,0.4,0.0,0.0,
212.0,Jordan Hawkins,SG,22.0,56.0,9.0,1321.0,0.372,19.3,0.403,0.092,0.092,0.119,0.101,0.597,0.433,0.549,0.353,0.5,0.321,0.331,0.629,0.909,0.036,16.0,0.232,0.403,0.0,0.0,
213.0,Tyrese Martin,SG,25.0,60.0,11.0,1315.0,0.406,18.0,0.394,0.127,0.176,0.073,0.017,0.606,0.492,0.746,0.354,0.412,0.375,0.351,0.522,0.939,0.013,6.0,0.305,0.384,2.0,0.0,
214.0,Mason Plumlee,C,34.0,74.0,21.0,1300.0,0.619,3.9,0.98,0.545,0.396,0.035,0.005,0.02,0.631,0.782,0.475,0.143,0.0,0.0,0.776,,0.347,62.0,0.5,0.0,1.0,0.0,
215.0,Jonathan Mogbo,PF,23.0,63.0,18.0,1286.0,0.438,8.6,0.803,0.461,0.233,0.073,0.037,0.197,0.486,0.634,0.277,0.346,0.231,0.243,0.712,1.0,0.216,66.0,0.443,0.323,2.0,0.0,
216.0,Jalen Johnson,SF,23.0,36.0,36.0,1284.0,0.5,10.2,0.74,0.352,0.279,0.09,0.018,0.26,0.566,0.749,0.437,0.245,0.6,0.312,0.626,0.955,0.127,63.0,0.298,0.333,2.0,0.0,
217.0,Max Strus,SF,28.0,50.0,37.0,1273.0,0.442,20.6,0.214,0.134,0.078,0.0,0.003,0.786,0.65,0.78,0.448,,0.0,0.386,0.731,0.965,0.035,10.0,0.304,0.382,1.0,0.0,
218.0,Johnny Juzang,SG,23.0,64.0,18.0,1270.0,0.429,19.2,0.339,0.072,0.16,0.069,0.038,0.661,0.534,0.676,0.513,0.424,0.556,0.376,0.605,0.89,0.006,3.0,0.395,0.419,0.0,0.0,
219.0,Ron Holland,SF,19.0,81.0,2.0,1266.0,0.474,12.1,0.637,0.296,0.288,0.038,0.014,0.363,0.608,0.691,0.55,0.5,0.333,0.238,0.596,1.0,0.091,34.0,0.483,0.205,3.0,0.0,
220.0,Javonte Green,SG,31.0,68.0,19.0,1258.0,0.429,14.1,0.509,0.317,0.16,0.024,0.007,0.491,0.527,0.692,0.283,0.143,0.0,0.326,0.636,1.0,0.077,18.0,0.475,0.328,0.0,0.0,
221.0,Nick Richards,C,27.0,57.0,43.0,1256.0,0.591,4.0,0.994,0.496,0.398,0.092,0.009,0.006,0.594,0.75,0.428,0.469,0.667,0.0,0.683,,0.288,83.0,1.0,0.0,0.0,0.0,
222.0,Dean Wade,PF,28.0,59.0,30.0,1252.0,0.413,21.0,0.181,0.118,0.041,0.007,0.015,0.819,0.653,0.781,0.455,0.5,0.25,0.36,0.688,1.0,0.033,8.0,0.392,0.414,0.0,0.0,
223.0,Ricky Council IV,SF,23.0,73.0,12.0,1250.0,0.382,15.2,0.54,0.24,0.197,0.089,0.015,0.46,0.488,0.631,0.352,0.439,0.286,0.258,0.516,0.927,0.071,31.0,0.183,0.41,4.0,0.0,
224.0,Tidjane Salaün,PF,19.0,60.0,10.0,1244.0,0.33,17.6,0.406,0.191,0.157,0.038,0.02,0.594,0.4,0.606,0.222,0.077,0.429,0.283,0.643,0.879,0.038,11.0,0.21,0.326,0.0,0.0,
225.0,Bobby Portis,PF,29.0,49.0,7.0,1244.0,0.466,14.1,0.701,0.2,0.193,0.163,0.145,0.299,0.508,0.655,0.487,0.423,0.43,0.365,0.519,0.969,0.015,7.0,0.258,0.435,0.0,0.0,
226.0,Moussa Diabaté,C,23.0,71.0,8.0,1241.0,0.596,3.6,0.979,0.65,0.271,0.054,0.004,0.021,0.609,0.698,0.447,0.4,0.0,0.0,0.743,,0.329,78.0,0.333,0.0,0.0,0.0,
227.0,Jeremiah Robinson-Earl,PF,24.0,66.0,9.0,1239.0,0.455,14.0,0.527,0.294,0.135,0.066,0.032,0.473,0.557,0.686,0.362,0.391,0.545,0.341,0.696,0.964,0.026,8.0,0.543,0.427,0.0,0.0,
228.0,Simone Fontecchio,SF,29.0,75.0,0.0,1237.0,0.402,17.7,0.391,0.164,0.15,0.032,0.046,0.609,0.507,0.623,0.429,0.5,0.353,0.335,0.649,1.0,0.035,11.0,0.361,0.28,2.0,0.0,
229.0,Cole Anthony,PG,24.0,67.0,22.0,1234.0,0.424,15.6,0.599,0.129,0.25,0.175,0.044,0.401,0.471,0.714,0.449,0.337,0.417,0.353,0.261,0.766,0.007,2.0,0.151,0.455,2.0,0.0,
230.0,Ben Sheppard,SG,23.0,63.0,9.0,1228.0,0.418,18.3,0.307,0.164,0.105,0.024,0.014,0.693,0.591,0.702,0.433,0.571,0.5,0.342,0.731,0.985,0.007,2.0,0.578,0.339,0.0,0.0,
231.0,Daniel Gafford,C,26.0,57.0,31.0,1226.0,0.702,2.6,1.0,0.69,0.298,0.012,0.0,0.0,0.702,0.748,0.6,0.6,,,0.721,,0.325,113.0,,,0.0,0.0,
232.0,John Collins,PF,27.0,40.0,31.0,1220.0,0.527,11.0,0.721,0.234,0.371,0.066,0.051,0.279,0.577,0.702,0.548,0.343,0.519,0.399,0.647,0.966,0.13,66.0,0.385,0.439,0.0,0.0,
233.0,Caleb Martin,SF,29.0,45.0,24.0,1218.0,0.424,13.2,0.661,0.243,0.181,0.082,0.155,0.339,0.458,0.608,0.327,0.56,0.319,0.359,0.435,0.973,0.03,7.0,0.417,0.488,2.0,0.0,
234.0,Kristaps Porziņģis,C,29.0,42.0,42.0,1210.0,0.483,16.0,0.564,0.174,0.23,0.11,0.051,0.436,0.537,0.76,0.492,0.365,0.345,0.412,0.77,0.981,0.106,54.0,0.068,0.353,0.0,0.0,
235.0,Brandon Clarke,PF,28.0,64.0,18.0,1207.0,0.621,5.7,0.955,0.429,0.395,0.132,0.0,0.045,0.647,0.816,0.553,0.38,,0.059,0.762,1.0,0.079,29.0,0.765,0.077,0.0,0.0,
236.0,Deandre Ayton,C,26.0,40.0,40.0,1206.0,0.566,8.4,0.932,0.344,0.269,0.205,0.113,0.068,0.594,0.82,0.468,0.49,0.396,0.188,0.741,1.0,0.165,71.0,0.469,0.067,0.0,0.0,
237.0,Jarace Walker,PF,21.0,75.0,5.0,1187.0,0.472,16.4,0.486,0.183,0.192,0.067,0.044,0.514,0.543,0.606,0.478,0.708,0.313,0.405,0.705,0.893,0.081,25.0,0.227,0.405,1.0,0.0,
238.0,Kawhi Leonard,SF,33.0,37.0,37.0,1180.0,0.498,14.4,0.695,0.132,0.199,0.266,0.098,0.305,0.536,0.768,0.54,0.476,0.377,0.411,0.431,0.679,0.056,32.0,0.137,0.385,0.0,0.0,
239.0,Clint Capela,C,30.0,55.0,41.0,1176.0,0.559,3.0,0.997,0.638,0.323,0.033,0.003,0.003,0.56,0.643,0.429,0.308,0.0,0.0,0.775,,0.262,87.0,0.0,,0.0,0.0,
240.0,Cody Martin,SF,29.0,53.0,8.0,1173.0,0.418,15.3,0.535,0.228,0.135,0.108,0.065,0.465,0.534,0.743,0.432,0.343,0.333,0.285,0.591,0.953,0.052,14.0,0.517,0.282,0.0,0.0,
241.0,Mark Williams,C,23.0,44.0,41.0,1171.0,0.604,3.8,0.991,0.555,0.376,0.056,0.004,0.009,0.609,0.754,0.423,0.44,0.5,0.0,0.807,,0.264,109.0,0.25,0.0,0.0,0.0,
242.0,Precious Achiuwa,C,25.0,57.0,10.0,1170.0,0.502,6.2,0.89,0.523,0.266,0.098,0.003,0.11,0.529,0.661,0.31,0.438,0.0,0.278,0.695,1.0,0.171,52.0,0.75,0.259,0.0,0.0,
243.0,Nikola Jović,PF,21.0,46.0,10.0,1156.0,0.456,16.1,0.443,0.183,0.21,0.034,0.016,0.557,0.563,0.739,0.468,0.231,0.5,0.371,0.649,0.949,0.016,5.0,0.348,0.479,0.0,0.0,
244.0,Justin Edwards,SF,21.0,44.0,26.0,1155.0,0.455,16.0,0.497,0.212,0.138,0.106,0.042,0.503,0.548,0.663,0.423,0.525,0.438,0.363,0.544,0.928,0.024,9.0,0.253,0.375,0.0,0.0,
245.0,Vit Krejci,PG,24.0,57.0,16.0,1153.0,0.497,19.4,0.295,0.13,0.116,0.034,0.014,0.705,0.64,0.763,0.559,0.5,0.5,0.437,0.655,0.922,0.041,11.0,0.223,0.543,0.0,0.0,
246.0,Jonathan Kuminga,PF,22.0,47.0,10.0,1144.0,0.454,11.3,0.734,0.22,0.371,0.113,0.03,0.266,0.508,0.736,0.455,0.328,0.176,0.305,0.519,0.891,0.095,48.0,0.305,0.283,2.0,0.0,
247.0,Kevon Looney,C,28.0,76.0,6.0,1142.0,0.514,4.6,0.982,0.525,0.342,0.054,0.061,0.018,0.516,0.671,0.379,0.267,0.176,0.4,0.567,1.0,0.09,24.0,0.4,1.0,1.0,0.0,
248.0,Kenrich Williams,PF,30.0,69.0,7.0,1132.0,0.483,15.3,0.517,0.234,0.175,0.056,0.051,0.483,0.574,0.735,0.5,0.3,0.389,0.386,0.6,1.0,0.017,6.0,0.263,0.422,0.0,0.0,
249.0,Julian Phillips,SF,21.0,79.0,5.0,1123.0,0.446,14.2,0.467,0.321,0.136,0.007,0.003,0.533,0.582,0.652,0.436,0.5,0.0,0.327,0.679,1.0,0.153,36.0,0.66,0.406,0.0,0.0,
250.0,Aaron Nesmith,SF,25.0,45.0,37.0,1123.0,0.507,15.7,0.485,0.203,0.172,0.084,0.026,0.515,0.587,0.714,0.538,0.469,0.3,0.431,0.769,0.964,0.042,11.0,0.369,0.472,0.0,0.0,
251.0,Dalano Banton,PG,25.0,67.0,7.0,1120.0,0.391,14.4,0.562,0.249,0.227,0.059,0.028,0.438,0.442,0.635,0.278,0.333,0.286,0.324,0.373,0.875,0.024,11.0,0.198,0.409,2.0,0.0,
252.0,Ben Simmons,PG,28.0,51.0,24.0,1120.0,0.52,4.9,1.0,0.422,0.507,0.067,0.004,0.0,0.52,0.606,0.478,0.333,0.0,,0.517,,0.103,18.0,,,0.0,0.0,
253.0,Ja'Kobe Walter,SG,20.0,52.0,18.0,1103.0,0.405,15.0,0.527,0.232,0.196,0.064,0.036,0.473,0.454,0.527,0.39,0.48,0.286,0.349,0.628,0.954,0.041,11.0,0.29,0.352,2.0,0.0,
254.0,Jaxson Hayes,C,24.0,56.0,35.0,1093.0,0.722,2.9,0.987,0.664,0.309,0.013,0.0,0.013,0.732,0.838,0.522,0.333,,0.0,0.857,,0.578,120.0,0.333,0.0,0.0,0.0,
255.0,Cameron Payne,PG,30.0,72.0,5.0,1090.0,0.401,17.8,0.426,0.128,0.209,0.065,0.025,0.574,0.453,0.526,0.441,0.379,0.364,0.363,0.302,0.645,0.0,0.0,0.094,0.375,0.0,0.0,
256.0,Jonathan Isaac,PF,27.0,71.0,1.0,1090.0,0.414,14.1,0.534,0.324,0.068,0.096,0.046,0.466,0.549,0.676,0.5,0.323,0.2,0.258,0.547,1.0,0.16,44.0,0.636,0.302,0.0,0.0,
257.0,DaQuan Jeffries,SG,27.0,47.0,20.0,1071.0,0.405,16.3,0.436,0.175,0.206,0.024,0.031,0.564,0.496,0.627,0.4,0.286,0.556,0.335,0.73,0.964,0.1,15.0,0.457,0.373,1.0,0.0,
258.0,Jusuf Nurkić,C,30.0,51.0,32.0,1063.0,0.477,10.9,0.702,0.293,0.375,0.028,0.006,0.298,0.551,0.689,0.47,0.3,0.0,0.305,0.676,0.969,0.065,20.0,0.105,0.455,1.0,0.0,
259.0,Seth Curry,SG,34.0,68.0,14.0,1062.0,0.478,18.8,0.469,0.067,0.117,0.122,0.163,0.531,0.503,0.826,0.35,0.429,0.536,0.456,0.593,0.843,0.0,0.0,0.297,0.537,0.0,0.0,
260.0,Cody Williams,SG,20.0,50.0,21.0,1060.0,0.323,16.3,0.475,0.105,0.265,0.07,0.035,0.525,0.393,0.593,0.397,0.222,0.111,0.259,0.563,1.0,0.035,5.0,0.57,0.26,0.0,0.0,
261.0,Isaac Okoro,SG,24.0,55.0,22.0,1053.0,0.464,14.8,0.434,0.341,0.086,0.004,0.004,0.566,0.586,0.659,0.348,0.0,0.0,0.371,0.765,1.0,0.052,11.0,0.596,0.389,0.0,0.0,
262.0,Oso Ighodaro,PF,22.0,61.0,6.0,1045.0,0.604,6.4,0.989,0.353,0.358,0.278,0.0,0.011,0.611,0.833,0.493,0.481,,0.0,0.858,,0.31,50.0,0.0,,1.0,0.0,
263.0,Jared Butler,SG,24.0,60.0,17.0,1044.0,0.448,13.4,0.627,0.196,0.287,0.119,0.026,0.373,0.504,0.663,0.438,0.407,0.417,0.355,0.259,0.783,0.0,0.0,0.213,0.472,0.0,0.0,
264.0,Jamison Battle,SF,23.0,59.0,10.0,1042.0,0.429,20.4,0.254,0.098,0.075,0.058,0.023,0.746,0.5,0.588,0.385,0.5,0.5,0.405,0.818,0.971,0.02,4.0,0.394,0.412,0.0,0.0,
265.0,Noah Clowney,PF,20.0,46.0,20.0,1042.0,0.358,19.2,0.298,0.142,0.118,0.035,0.003,0.702,0.414,0.642,0.205,0.231,0.0,0.333,0.696,0.954,0.065,17.0,0.249,0.338,1.0,0.0,
266.0,Alex Caruso,SG,30.0,54.0,3.0,1041.0,0.446,15.2,0.459,0.287,0.124,0.025,0.022,0.541,0.556,0.656,0.41,0.5,0.143,0.353,0.688,0.933,0.029,9.0,0.365,0.419,0.0,0.0,
267.0,Kris Murray,SF,24.0,69.0,6.0,1040.0,0.419,12.2,0.57,0.358,0.208,0.0,0.004,0.43,0.566,0.65,0.414,,1.0,0.225,0.589,0.963,0.129,34.0,0.475,0.263,0.0,0.0,
268.0,Dejounte Murray,PG,28.0,31.0,31.0,1012.0,0.393,14.8,0.648,0.176,0.174,0.206,0.091,0.352,0.444,0.598,0.349,0.461,0.289,0.299,0.261,0.635,0.012,6.0,0.155,0.296,0.0,0.0,
269.0,Jalen Suggs,PG,23.0,35.0,35.0,1002.0,0.41,17.7,0.497,0.141,0.164,0.129,0.062,0.503,0.506,0.765,0.43,0.387,0.367,0.314,0.223,0.763,0.008,4.0,0.145,0.429,4.0,0.0,
270.0,Kyle Anderson,PF,31.0,61.0,4.0,1002.0,0.469,10.9,0.769,0.185,0.429,0.102,0.053,0.231,0.502,0.714,0.469,0.355,0.313,0.357,0.496,0.96,0.036,10.0,0.443,0.452,4.0,0.0,
