Rk,Player,Pos,Age,G,GS,MP,FG%,Dist.,%FGA 2P,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA 3P,2P%,FG% 0-3,FG% 3-10,FG% 10-16,FG% 16-3P,3P%,%Ast'd 2P,%Ast'd 3P,Dunk %FGA,Dunks #,Corner 3s %3PA,Corner 3s 3P%,Heaves Att.,Heaves Md.,Awards
460.0,Markelle Fultz,PG,26.0,21.0,0.0,184.0,0.418,12.4,0.881,0.075,0.299,0.358,0.149,0.119,0.407,0.8,0.25,0.583,0.1,0.5,0.5,1.0,0.045,2.0,0.625,0.4,0.0,0.0,
461.0,Lester Quiñones,SG,24.0,13.0,0.0,183.0,0.397,15.0,0.436,0.218,0.154,0.038,0.026,0.564,0.529,0.765,0.417,0.0,0.0,0.295,0.444,0.923,0.0,0.0,0.159,0.286,0.0,0.0,
462.0,Bronny James,SG,20.0,27.0,1.0,181.0,0.313,16.6,0.522,0.09,0.239,0.149,0.045,0.478,0.343,0.667,0.313,0.2,0.333,0.281,0.5,0.778,0.015,1.0,0.25,0.25,0.0,0.0,
463.0,Enrique Freeman,PF,24.0,22.0,1.0,181.0,0.432,8.4,0.73,0.514,0.216,0.0,0.0,0.27,0.556,0.632,0.375,,,0.1,0.8,1.0,0.108,3.0,0.8,0.125,0.0,0.0,
464.0,Cole Swider,SF,25.0,10.0,0.0,169.0,0.349,23.2,0.254,0.063,0.048,0.048,0.095,0.746,0.438,0.25,0.333,0.667,0.5,0.319,0.714,1.0,0.0,0.0,0.404,0.316,0.0,0.0,
465.0,Jaylen Nowell,SG,25.0,8.0,0.0,168.0,0.356,14.5,0.63,0.11,0.315,0.164,0.041,0.37,0.391,0.5,0.348,0.5,0.0,0.296,0.278,1.0,0.0,0.0,0.222,0.5,0.0,0.0,
466.0,Markieff Morris,PF,35.0,15.0,2.0,165.0,0.3,19.9,0.486,0.071,0.071,0.243,0.1,0.514,0.353,0.2,0.4,0.353,0.429,0.25,0.667,1.0,0.0,0.0,0.306,0.091,1.0,0.0,
467.0,Killian Hayes,PG,23.0,6.0,5.0,162.0,0.419,16.2,0.512,0.14,0.186,0.163,0.023,0.488,0.455,0.667,0.375,0.429,0.0,0.381,0.4,1.0,0.0,0.0,0.143,0.333,0.0,0.0,
468.0,MarJon Beauchamp,SF,24.0,35.0,0.0,156.0,0.415,16.0,0.554,0.215,0.138,0.031,0.169,0.446,0.472,0.786,0.222,0.5,0.273,0.345,0.294,0.7,0.046,2.0,0.345,0.3,0.0,0.0,
469.0,Lamar Stevens,PF,27.0,17.0,1.0,155.0,0.46,14.4,0.571,0.27,0.222,0.079,0.0,0.429,0.583,0.588,0.5,0.8,,0.296,0.524,0.875,0.063,3.0,0.37,0.2,1.0,0.0,
470.0,Tyson Etienne,PG,25.0,7.0,0.0,151.0,0.327,21.9,0.154,0.096,0.058,0.0,0.0,0.846,0.5,0.4,0.667,,,0.295,1.0,1.0,0.0,0.0,0.318,0.429,0.0,0.0,
471.0,Josh Richardson,SG,31.0,8.0,0.0,150.0,0.289,18.5,0.421,0.105,0.184,0.026,0.105,0.579,0.313,0.5,0.286,0.0,0.25,0.273,1.0,1.0,0.0,0.0,0.227,0.2,0.0,0.0,
472.0,Jeenathan Williams,SG,25.0,20.0,0.0,147.0,0.435,13.5,0.581,0.113,0.435,0.032,0.0,0.419,0.583,0.714,0.556,0.5,,0.231,0.619,1.0,0.016,1.0,0.5,0.231,0.0,0.0,
473.0,Bruno Fernando,C,26.0,17.0,2.0,147.0,0.531,4.1,1.0,0.592,0.327,0.041,0.041,0.0,0.531,0.655,0.438,0.0,0.0,,0.654,,0.143,7.0,,,0.0,0.0,
474.0,Damion Lee,SG,32.0,25.0,0.0,144.0,0.365,17.0,0.5,0.081,0.23,0.149,0.041,0.5,0.486,0.833,0.353,0.636,0.0,0.243,0.667,0.889,0.0,0.0,0.351,0.308,0.0,0.0,
475.0,Oshae Brissett,SF,26.0,6.0,2.0,142.0,0.487,13.2,0.538,0.333,0.205,0.0,0.0,0.462,0.619,0.692,0.5,,,0.333,0.615,0.667,0.026,1.0,0.333,0.333,0.0,0.0,
476.0,Elijah Harkless,SG,24.0,10.0,0.0,138.0,0.314,19.6,0.286,0.114,0.114,0.057,0.0,0.714,0.4,0.75,0.25,0.0,,0.28,0.75,0.857,0.0,0.0,0.32,0.375,0.0,0.0,
477.0,Pete Nance,PF,24.0,13.0,1.0,138.0,0.438,23.2,0.25,0.125,0.063,0.0,0.063,0.75,0.625,1.0,0.0,,0.5,0.375,0.8,1.0,0.063,2.0,0.083,0.5,1.0,0.0,
478.0,Vlatko Čančar,PF,27.0,13.0,0.0,136.0,0.385,16.4,0.423,0.231,0.192,0.0,0.0,0.577,0.545,0.333,0.8,,,0.267,0.667,1.0,0.077,2.0,0.267,0.5,0.0,0.0,
479.0,Kylor Kelley,C,27.0,11.0,2.0,126.0,0.636,3.8,1.0,0.5,0.364,0.136,0.0,0.0,0.636,0.818,0.375,0.667,,,0.857,,0.227,5.0,,,0.0,0.0,
480.0,Alex Ducas,SG,24.0,21.0,0.0,125.0,0.4,19.7,0.3,0.133,0.067,0.033,0.067,0.7,0.222,0.25,0.0,0.0,0.5,0.476,1.0,1.0,0.0,0.0,0.429,0.556,0.0,0.0,
481.0,Spencer Jones,SF,23.0,20.0,0.0,125.0,0.324,15.3,0.5,0.176,0.176,0.118,0.029,0.5,0.588,0.5,0.833,0.25,1.0,0.059,0.9,1.0,0.029,1.0,0.588,0.0,0.0,0.0,
482.0,Kobe Bufkin,SG,21.0,10.0,0.0,124.0,0.383,14.2,0.596,0.255,0.191,0.106,0.043,0.404,0.5,0.417,0.778,0.2,0.5,0.211,0.429,1.0,0.0,0.0,0.316,0.167,1.0,0.0,
483.0,Tyler Smith,PF,20.0,23.0,0.0,122.0,0.48,17.2,0.4,0.22,0.1,0.04,0.04,0.6,0.55,0.636,0.6,0.0,0.5,0.433,0.818,0.923,0.08,4.0,0.3,0.333,0.0,0.0,
484.0,De'Anthony Melton,SG,26.0,6.0,2.0,121.0,0.407,18.2,0.352,0.13,0.185,0.037,0.0,0.648,0.474,0.286,0.7,0.0,,0.371,0.444,0.923,0.037,2.0,0.114,0.75,0.0,0.0,
485.0,Moses Brown,C,25.0,13.0,2.0,119.0,0.694,3.2,1.0,0.612,0.347,0.041,0.0,0.0,0.694,0.933,0.353,0.0,,,0.647,,0.286,14.0,,,0.0,0.0,
486.0,TyTy Washington Jr.,PG,23.0,16.0,0.0,118.0,0.311,17.4,0.533,0.022,0.2,0.289,0.022,0.467,0.417,1.0,0.444,0.385,0.0,0.19,0.7,0.75,0.0,0.0,0.333,0.143,0.0,0.0,
487.0,Trey Alexander,SG,21.0,24.0,0.0,117.0,0.317,16.8,0.585,0.073,0.195,0.171,0.146,0.415,0.417,0.333,0.375,0.571,0.333,0.176,0.6,1.0,0.0,0.0,0.235,0.5,0.0,0.0,
488.0,Joe Ingles,SF,37.0,19.0,1.0,114.0,0.261,19.4,0.348,0.043,0.217,0.043,0.043,0.652,0.375,0.0,0.4,1.0,0.0,0.2,1.0,1.0,0.0,0.0,0.133,0.0,0.0,0.0,
489.0,Sidy Cissoko,SF,20.0,22.0,0.0,114.0,0.433,13.7,0.567,0.267,0.267,0.0,0.033,0.433,0.588,0.75,0.5,,0.0,0.231,0.7,1.0,0.167,4.0,0.385,0.4,0.0,0.0,
490.0,Tony Bradley,C,27.0,14.0,0.0,113.0,0.644,4.3,0.933,0.556,0.356,0.0,0.022,0.067,0.667,0.68,0.625,,1.0,0.333,0.75,1.0,0.089,4.0,0.667,0.0,0.0,0.0,
491.0,Jaylen Sims,SG,26.0,6.0,0.0,112.0,0.429,16.4,0.464,0.143,0.286,0.036,0.0,0.536,0.462,1.0,0.25,0.0,,0.4,0.667,0.833,0.036,1.0,0.2,0.333,0.0,0.0,
492.0,Pacome Dadiet,SG,19.0,18.0,0.0,111.0,0.323,18.4,0.387,0.129,0.097,0.032,0.129,0.613,0.333,0.5,0.0,0.0,0.5,0.316,1.0,1.0,0.0,0.0,0.421,0.125,0.0,0.0,
493.0,Patrick Baldwin Jr.,SF,22.0,24.0,0.0,107.0,0.543,21.2,0.343,0.229,0.114,0.0,0.0,0.657,0.5,0.625,0.25,,,0.565,0.833,1.0,0.114,4.0,0.174,0.75,0.0,0.0,
494.0,Chris Livingston,SF,21.0,21.0,1.0,106.0,0.333,9.2,0.704,0.519,0.185,0.0,0.0,0.296,0.474,0.571,0.2,,,0.0,0.556,,0.111,3.0,0.375,0.0,0.0,0.0,
495.0,Jae Crowder,PF,34.0,9.0,2.0,103.0,0.318,20.6,0.318,0.0,0.136,0.091,0.091,0.682,0.429,,0.333,0.5,0.5,0.267,0.667,1.0,0.0,0.0,0.533,0.25,0.0,0.0,
496.0,Justin Minaya,SF,25.0,19.0,0.0,101.0,0.381,14.0,0.524,0.19,0.333,0.0,0.0,0.476,0.545,0.5,0.571,,,0.2,0.5,1.0,0.0,0.0,0.3,0.333,0.0,0.0,
497.0,Keshad Johnson,SF,23.0,16.0,0.0,98.0,0.692,8.3,0.731,0.577,0.154,0.0,0.0,0.269,0.789,0.933,0.25,,,0.429,0.6,1.0,0.231,6.0,0.143,0.0,0.0,0.0,
498.0,Yuki Kawamura,PG,23.0,22.0,0.0,93.0,0.367,22.4,0.233,0.067,0.0,0.133,0.033,0.767,0.571,0.5,,0.5,1.0,0.304,0.5,0.429,0.0,0.0,0.13,0.333,0.0,0.0,
499.0,JD Davison,PG,22.0,16.0,0.0,93.0,0.353,17.8,0.471,0.176,0.088,0.176,0.029,0.529,0.5,0.667,0.667,0.333,0.0,0.222,0.25,0.75,0.059,2.0,0.167,0.333,0.0,0.0,
500.0,Luke Travers,SG,23.0,12.0,0.0,88.0,0.25,11.7,0.55,0.55,0.0,0.0,0.0,0.45,0.455,0.455,,,,0.0,0.8,,0.2,3.0,0.444,0.0,0.0,0.0,
501.0,Stanley Umude,SG,25.0,22.0,0.0,86.0,0.192,17.7,0.423,0.115,0.154,0.154,0.0,0.577,0.182,0.667,0.0,0.0,,0.2,0.5,1.0,0.038,1.0,0.6,0.222,0.0,0.0,
502.0,Kevin Knox,SF,25.0,14.0,0.0,84.0,0.5,13.4,0.583,0.194,0.306,0.056,0.028,0.417,0.667,0.714,0.727,0.0,1.0,0.267,0.643,1.0,0.111,4.0,0.4,0.167,0.0,0.0,
503.0,Isaiah Jackson,C,23.0,5.0,1.0,84.0,0.609,1.9,1.0,0.783,0.217,0.0,0.0,0.0,0.609,0.611,0.6,,,,0.857,,0.304,6.0,,,0.0,0.0,
504.0,Marcus Garrett,SG,26.0,4.0,0.0,79.0,0.407,12.4,0.704,0.111,0.407,0.185,0.0,0.296,0.421,0.667,0.455,0.2,,0.375,0.25,1.0,0.0,0.0,0.375,0.333,0.0,0.0,
505.0,Jacob Toppin,SF,24.0,17.0,0.0,76.0,0.409,12.7,0.545,0.318,0.136,0.091,0.0,0.455,0.333,0.286,0.333,0.5,,0.5,0.5,1.0,0.045,1.0,0.6,0.667,0.0,0.0,
506.0,Emoni Bates,SF,21.0,10.0,0.0,75.0,0.342,23.4,0.211,0.105,0.0,0.053,0.053,0.789,0.25,0.5,,0.0,0.0,0.367,0.0,0.909,0.0,0.0,0.1,0.667,0.0,0.0,
507.0,Taylor Hendricks,PF,21.0,3.0,3.0,75.0,0.222,18.8,0.333,0.056,0.167,0.111,0.0,0.667,0.167,0.0,0.333,0.0,,0.25,1.0,1.0,0.056,1.0,0.583,0.429,0.0,0.0,
508.0,Chris Duarte,SG,27.0,17.0,0.0,74.0,0.462,16.1,0.423,0.269,0.154,0.0,0.0,0.577,0.545,0.571,0.5,,,0.4,0.667,0.667,0.0,0.0,0.067,1.0,0.0,0.0,
509.0,Daeqwon Plowden,SG,26.0,6.0,0.0,72.0,0.64,17.0,0.32,0.28,0.04,0.0,0.0,0.68,0.875,0.857,1.0,,,0.529,0.857,1.0,0.12,3.0,0.353,0.333,0.0,0.0,
510.0,RayJ Dennis,PG,23.0,11.0,0.0,70.0,0.333,20.9,0.364,0.061,0.152,0.091,0.061,0.636,0.417,1.0,0.2,0.0,1.0,0.286,0.2,0.667,0.0,0.0,0.143,0.0,1.0,0.0,
511.0,Josh Christopher,SG,23.0,14.0,0.0,69.0,0.355,11.5,0.645,0.419,0.161,0.065,0.0,0.355,0.45,0.538,0.2,0.5,,0.182,0.556,1.0,0.097,2.0,0.182,0.0,0.0,0.0,
512.0,Matt Ryan,SF,27.0,19.0,0.0,68.0,0.323,18.6,0.387,0.097,0.129,0.097,0.065,0.613,0.333,1.0,0.25,0.0,0.0,0.316,1.0,1.0,0.0,0.0,0.421,0.25,0.0,0.0,
513.0,Armel Traoré,SF,22.0,9.0,0.0,67.0,0.316,10.3,0.632,0.474,0.158,0.0,0.0,0.368,0.5,0.556,0.333,,,0.0,0.833,,0.105,2.0,0.714,0.0,0.0,0.0,
514.0,PJ Hall,C,22.0,19.0,0.0,66.0,0.583,11.3,0.667,0.375,0.208,0.083,0.0,0.333,0.75,0.778,0.6,1.0,,0.25,0.833,1.0,0.208,5.0,0.0,,0.0,0.0,
515.0,Nae'Qwan Tomlin,PF,24.0,5.0,1.0,63.0,0.406,10.2,0.688,0.469,0.125,0.094,0.0,0.313,0.5,0.6,0.25,0.333,,0.2,0.455,1.0,0.094,2.0,0.0,,0.0,0.0,
516.0,Jamaree Bouyea,PG,25.0,5.0,1.0,62.0,0.5,14.2,0.583,0.333,0.167,0.083,0.0,0.417,0.714,0.75,0.5,1.0,,0.2,0.4,0.0,0.0,0.0,0.0,,0.0,0.0,
517.0,Cam Christie,SG,19.0,13.0,0.0,59.0,0.292,15.9,0.458,0.292,0.125,0.0,0.042,0.542,0.455,0.429,0.667,,0.0,0.154,0.6,1.0,0.083,1.0,0.154,0.0,0.0,0.0,
518.0,P.J. Tucker,SF,39.0,3.0,1.0,58.0,0.429,23.9,0.143,0.0,0.0,0.143,0.0,0.857,0.0,,,0.0,,0.5,,1.0,0.0,0.0,0.833,0.6,0.0,0.0,
519.0,Jazian Gortman,PG,21.0,16.0,0.0,57.0,0.391,16.4,0.522,0.087,0.217,0.174,0.043,0.478,0.417,1.0,0.2,0.25,1.0,0.364,0.2,0.75,0.0,0.0,0.455,0.4,0.0,0.0,
520.0,Liam Robbins,C,25.0,13.0,0.0,57.0,0.25,9.0,0.75,0.5,0.125,0.125,0.0,0.25,0.333,0.25,1.0,0.0,,0.0,1.0,,0.25,1.0,0.0,,0.0,0.0,
521.0,E.J. Liddell,PF,24.0,12.0,0.0,53.0,0.533,20.3,0.333,0.133,0.133,0.067,0.0,0.667,1.0,1.0,1.0,1.0,,0.3,0.6,1.0,0.0,0.0,0.0,,0.0,0.0,
522.0,Jackson Rowe,PF,28.0,6.0,0.0,52.0,0.471,16.5,0.412,0.176,0.235,0.0,0.0,0.588,0.714,1.0,0.5,,,0.3,1.0,1.0,0.0,0.0,0.3,0.333,0.0,0.0,
523.0,N'Faly Dante,C,23.0,4.0,0.0,51.0,0.769,3.7,1.0,0.538,0.385,0.0,0.077,0.0,0.769,0.857,0.8,,0.0,,0.6,,0.462,6.0,,,0.0,0.0,
524.0,Isaiah Crawford,SF,23.0,15.0,0.0,46.0,0.455,15.1,0.545,0.182,0.182,0.182,0.0,0.455,0.667,0.5,1.0,0.5,,0.2,0.75,1.0,0.0,0.0,0.2,1.0,0.0,0.0,
525.0,Mason Jones,SG,26.0,10.0,0.0,45.0,0.5,15.1,0.556,0.167,0.278,0.111,0.0,0.444,0.8,1.0,0.6,1.0,,0.125,0.5,1.0,0.0,0.0,0.125,0.0,0.0,0.0,
526.0,Phillip Wheeler,PF,22.0,5.0,0.0,44.0,0.143,12.9,0.524,0.381,0.143,0.0,0.0,0.476,0.273,0.25,0.333,,,0.0,0.333,,0.095,0.0,0.3,0.0,0.0,0.0,
527.0,Malachi Flynn,PG,26.0,4.0,0.0,44.0,0.385,12.6,0.692,0.154,0.462,0.077,0.0,0.308,0.444,1.0,0.333,0.0,,0.25,0.5,1.0,0.0,0.0,0.0,,0.0,0.0,
528.0,Jack McVeigh,PF,28.0,9.0,0.0,43.0,0.294,21.5,0.235,0.059,0.059,0.059,0.059,0.765,0.25,0.0,0.0,1.0,0.0,0.308,0.0,1.0,0.0,0.0,0.462,0.5,0.0,0.0,
529.0,Bobi Klintman,SF,21.0,8.0,0.0,42.0,0.6,17.4,0.5,0.2,0.1,0.1,0.1,0.5,0.8,1.0,1.0,0.0,1.0,0.4,0.75,1.0,0.1,1.0,0.4,0.5,0.0,0.0,
530.0,James Johnson,PF,37.0,12.0,0.0,37.0,0.364,14.5,0.727,0.364,0.0,0.091,0.273,0.273,0.5,0.75,,1.0,0.0,0.0,0.75,,0.0,0.0,0.0,,0.0,0.0,
531.0,PJ Dozier,SG,28.0,9.0,0.0,35.0,0.667,24.7,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.667,,1.0,0.0,0.0,0.333,1.0,0.0,0.0,
532.0,Harrison Ingram,SF,22.0,5.0,0.0,35.0,0.5,13.1,0.75,0.25,0.25,0.0,0.25,0.25,0.667,1.0,1.0,,0.0,0.0,0.5,,0.0,0.0,0.0,,0.0,0.0,
533.0,Miles Norris,PF,24.0,3.0,0.0,35.0,0.222,21.6,0.222,0.111,0.111,0.0,0.0,0.778,0.0,0.0,0.0,,,0.286,,1.0,0.0,0.0,0.0,,0.0,0.0,
534.0,David Duke Jr.,SG,25.0,6.0,0.0,34.0,0.429,12.8,0.571,0.286,0.286,0.0,0.0,0.429,0.375,0.75,0.0,,,0.5,0.333,1.0,0.0,0.0,0.833,0.6,0.0,0.0,
535.0,D.J. Carton,SG,24.0,4.0,0.0,33.0,0.143,13.6,0.571,0.143,0.429,0.0,0.0,0.429,0.25,1.0,0.0,,,0.0,1.0,,0.0,0.0,0.333,0.0,0.0,0.0,
536.0,Bryce McGowens,SG,22.0,13.0,0.0,32.0,0.286,11.3,0.714,0.143,0.429,0.143,0.0,0.286,0.4,1.0,0.167,0.5,,0.0,0.75,,0.143,2.0,0.25,0.0,0.0,0.0,
537.0,Leonard Miller,SF,21.0,13.0,0.0,32.0,0.4,10.9,0.667,0.4,0.2,0.067,0.0,0.333,0.6,0.667,0.667,0.0,,0.0,0.667,,0.067,1.0,0.0,,0.0,0.0,
538.0,Ulrich Chomche,PF,19.0,7.0,0.0,32.0,0.4,6.9,1.0,0.4,0.2,0.4,0.0,0.0,0.4,0.5,0.0,0.5,,,1.0,,0.2,1.0,,,0.0,0.0,
539.0,Jalen Bridges,SF,23.0,8.0,0.0,30.0,0.286,25.3,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.286,,1.0,0.0,0.0,0.429,0.667,0.0,0.0,
540.0,Jahmir Young,PG,24.0,6.0,0.0,30.0,0.8,11.9,0.6,0.6,0.0,0.0,0.0,0.4,1.0,1.0,,,,0.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
541.0,Kevin McCullar Jr.,SF,23.0,4.0,0.0,29.0,0.286,9.4,0.857,0.143,0.429,0.286,0.0,0.143,0.333,1.0,0.333,0.0,,0.0,0.5,,0.0,0.0,0.0,,0.0,0.0,
542.0,Trentyn Flowers,SF,19.0,6.0,0.0,27.0,0.364,10.3,0.818,0.182,0.364,0.182,0.091,0.182,0.444,0.5,0.5,0.5,0.0,0.0,0.5,,0.091,1.0,0.5,0.0,0.0,0.0,
543.0,Emanuel Miller,PF,24.0,6.0,0.0,25.0,0.5,4.7,0.875,0.75,0.125,0.0,0.0,0.125,0.571,0.5,1.0,,,0.0,0.75,,0.125,1.0,0.0,,0.0,0.0,
544.0,Daniss Jenkins,PG,23.0,7.0,0.0,23.0,0.3,18.5,0.3,0.3,0.0,0.0,0.0,0.7,0.667,0.667,,,,0.143,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,
545.0,Anton Watson,SF,24.0,9.0,0.0,22.0,0.444,6.4,0.889,0.444,0.444,0.0,0.0,0.111,0.5,0.75,0.25,,,0.0,0.75,,0.111,1.0,0.0,,0.0,0.0,
546.0,Tolu Smith,PF,24.0,1.0,0.0,22.0,0.667,1.6,1.0,0.889,0.111,0.0,0.0,0.0,0.667,0.75,0.0,,,,0.667,,0.0,0.0,,,0.0,0.0,
547.0,Malevy Leons,SF,25.0,6.0,0.0,21.0,0.0,15.3,0.5,0.0,0.5,0.0,0.0,0.5,0.0,,0.0,,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,
548.0,Adama Sanogo,C,22.0,4.0,0.0,21.0,0.571,2.1,1.0,0.714,0.286,0.0,0.0,0.0,0.571,0.6,0.5,,,,0.5,,0.143,0.0,,,0.0,0.0,
549.0,Taze Moore,SG,26.0,2.0,0.0,20.0,0.2,19.1,0.6,0.2,0.3,0.1,0.0,0.4,0.167,0.5,0.0,0.0,,0.25,0.0,1.0,0.1,1.0,0.0,,1.0,0.0,
550.0,Ron Harper Jr.,SF,24.0,1.0,0.0,17.0,0.125,20.4,0.25,0.125,0.125,0.0,0.0,0.75,0.5,0.0,1.0,,,0.0,1.0,,0.0,0.0,0.5,0.0,0.0,0.0,
551.0,Isaiah Mobley,PF,25.0,1.0,0.0,17.0,0.286,14.6,0.571,0.143,0.286,0.143,0.0,0.429,0.25,1.0,0.0,0.0,,0.333,0.0,1.0,0.0,0.0,0.333,0.0,0.0,0.0,
552.0,Yuri Collins,PG,23.0,2.0,0.0,16.0,0.333,14.1,1.0,0.0,0.0,0.667,0.333,0.0,0.333,,,0.0,1.0,,0.0,,0.0,0.0,,,0.0,0.0,
553.0,Tristen Newton,SG,23.0,8.0,0.0,16.0,0.125,13.8,0.625,0.125,0.25,0.25,0.0,0.375,0.2,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,
554.0,Daishen Nix,PG,22.0,3.0,0.0,13.0,0.0,24.8,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,
555.0,Skal Labissière,PF,28.0,4.0,0.0,12.0,0.5,15.2,0.75,0.0,0.25,0.5,0.0,0.25,0.333,,0.0,0.5,,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,
556.0,Braxton Key,SF,27.0,3.0,0.0,11.0,0.0,11.5,0.75,0.0,0.5,0.25,0.0,0.25,0.0,,0.0,0.0,,0.0,,,0.25,0.0,0.0,,0.0,0.0,
557.0,Cui Yongxi,SG,21.0,5.0,0.0,10.0,0.143,12.2,0.571,0.429,0.143,0.0,0.0,0.429,0.25,0.333,0.0,,,0.0,1.0,,0.0,0.0,0.667,0.0,0.0,0.0,
558.0,Mac McClung,SG,26.0,2.0,0.0,10.0,0.0,17.6,0.5,0.0,0.5,0.0,0.0,0.5,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,
559.0,Quincy Olivari,PG,23.0,2.0,0.0,10.0,0.2,25.8,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.2,,1.0,0.0,0.0,0.2,0.0,0.0,0.0,
560.0,Terence Davis,SG,27.0,1.0,0.0,8.0,0.0,21.1,0.5,0.0,0.0,0.5,0.0,0.5,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,
561.0,Jalen McDaniels,SF,27.0,4.0,0.0,7.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,
562.0,Riley Minix,SF,24.0,1.0,0.0,7.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,
563.0,Isaiah Stevens,PG,24.0,3.0,0.0,6.0,0.0,17.1,0.5,0.0,0.5,0.0,0.0,0.5,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,
564.0,Terry Taylor,PF,25.0,3.0,0.0,6.0,0.0,5.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,0.0,0.0,
565.0,Jesse Edwards,C,24.0,2.0,0.0,5.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,
566.0,James Wiseman,C,23.0,1.0,0.0,5.0,0.5,14.1,0.75,0.0,0.5,0.0,0.25,0.25,0.667,,1.0,,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,
567.0,Alondes Williams,SG,25.0,1.0,0.0,4.0,1.0,13.5,0.5,0.5,0.0,0.0,0.0,0.5,1.0,1.0,,,,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,
568.0,Zyon Pullin,SG,23.0,3.0,0.0,3.0,0.0,8.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,0.0,0.0,
569.0,Jahlil Okafor,C,29.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,
,League Average,,,,,,0.467,14.1,0.579,0.226,0.214,0.091,0.048,0.421,0.545,0.696,0.461,0.443,0.4,0.36,0.542,0.834,0.061,,0.243,0.388,,,
